Soil Moisture,Temperature, Soil Humidity,N,P,K,Status,Fertilizer,Pest
54,22,70,90,42,43,ON,14-35-14,Spodoptera
12,20,40,85,58,41,OFF,DAP,AmericanBollworm-Larva
34,26,35,60,55,44,ON,10-26-26,AmericanBollworm-Larva
7,44,44,74,35,40,OFF,Urea,AmericanBollworm-Larva
50,38,23,78,42,42,OFF,10-26-26,AmericanBollworm-Larva
4,26,52,69,37,42,ON,Urea,Spodoptera
15,34,58,69,55,38,ON,17-17-17,Mealybug
45,30,43,94,53,40,ON,10-26-26,PinkBollworm-Larva
47,4,42,89,54,38,OFF,Urea,PinkBollworm-Larva
19,41,22,68,58,38,ON,DAP,Spodoptera
63,44,65,91,53,40,ON,Urea,Jassid
88,34,41,90,46,42,ON,DAP,Aphid
39,20,70,78,58,44,ON,17-17-17,Aphid
65,43,44,93,56,36,OFF,10-26-26,Jassid
50,27,50,94,50,37,ON,Urea,AmericanBollworm-Larva
39,22,48,60,48,39,ON,28-28,AmericanBollworm-Larva
18,33,44,85,38,41,ON,Urea,AmericanBollworm-Larva
66,43,35,91,35,39,ON,10-26-26,Mealybug
68,25,59,77,38,36,ON,10-26-26,Jassid
20,36,53,88,35,40,ON,14-35-14,AmericanBollworm-Larva
40,17,35,89,45,36,ON,17-17-17,Mealybug
2,34,64,76,40,43,OFF,10-26-26,Spodoptera
22,35,32,67,59,41,OFF,10-26-26,AmericanBollworm-Larva
1,19,70,83,41,43,ON,Urea,PinkBollworm-Larva
5,23,27,98,47,37,ON,14-35-14,Jassid
10,28,30,66,53,41,ON,20-20,Spodoptera
25,13,66,97,59,43,ON,10-26-26,Aphid
20,45,61,97,50,41,ON,28-28,Jassid
40,29,39,60,49,44,OFF,17-17-17,AmericanBollworm-Egg
26,13,70,84,51,35,ON,17-17-17,PinkBollworm-Larva
71,6,59,73,57,41,OFF,14-35-14,AmericanBollworm-Larva
37,21,24,92,35,40,ON,10-26-26,AmericanBollworm-Larva
76,12,47,85,37,39,OFF,Urea,AmericanBollworm-Egg
44,24,45,98,53,38,ON,28-28,Jassid
24,8,47,88,54,44,OFF,10-26-26,AmericanBollworm-Egg
70,6,63,95,55,42,OFF,17-17-17,PinkBollworm-Larva
32,23,28,99,57,35,OFF,28-28,Aphid
44,24,39,95,39,36,ON,10-26-26,Jassid
4,45,49,60,43,44,ON,20-20,AmericanBollworm-Egg
63,40,48,63,44,41,ON,17-17-17,Spodoptera
49,29,55,62,42,36,ON,DAP,Aphid
26,32,70,64,45,43,ON,17-17-17,AmericanBollworm-Egg
58,32,38,83,60,36,OFF,Urea,Jassid
45,0,69,82,40,40,OFF,DAP,Aphid
37,7,32,85,52,45,ON,17-17-17,Spodoptera
16,44,57,91,35,38,OFF,17-17-17,AmericanBollworm-Egg
75,2,31,76,49,42,OFF,17-17-17,PinkBollworm-Larva
82,16,62,74,39,38,OFF,28-28,PinkBollworm-Larva
72,28,21,79,43,39,OFF,28-28,AmericanBollworm-Egg
53,1,51,88,55,45,OFF,17-17-17,Aphid
13,24,48,60,36,43,OFF,Urea,Mealybug
41,18,34,76,60,39,ON,10-26-26,Aphid
53,2,30,93,56,42,OFF,17-17-17,Spodoptera
76,14,48,65,60,43,OFF,17-17-17,Aphid
9,36,37,95,52,36,OFF,Urea,Aphid
66,1,56,75,38,39,OFF,Urea,Aphid
12,16,25,74,54,38,OFF,20-20,PinkBollworm-Larva
29,10,67,91,36,45,ON,20-20,AmericanBollworm-Larva
37,34,57,71,46,40,ON,17-17-17,AmericanBollworm-Egg
8,28,67,99,55,35,ON,14-35-14,Aphid
55,1,68,72,40,38,ON,Urea,AmericanBollworm-Larva
9,1,32,83,58,45,OFF,14-35-14,Jassid
41,27,23,93,58,38,ON,17-17-17,AmericanBollworm-Egg
31,8,33,70,36,42,ON,DAP,PinkBollworm-Larva
80,38,52,76,47,42,OFF,20-20,Spodoptera
7,27,59,99,41,36,OFF,Urea,Mealybug
13,4,41,99,54,37,ON,DAP,PinkBollworm-Larva
42,18,36,86,59,35,ON,14-35-14,Jassid
72,21,26,69,46,41,OFF,Urea,Mealybug
21,33,21,91,56,37,ON,20-20,AmericanBollworm-Larva
14,4,51,61,52,41,ON,Urea,Aphid
16,19,51,67,45,38,ON,Urea,Aphid
11,9,26,79,42,37,OFF,28-28,Mealybug
7,17,52,78,43,42,OFF,10-26-26,AmericanBollworm-Larva
56,3,64,75,54,36,ON,Urea,AmericanBollworm-Egg
42,19,55,97,36,45,ON,20-20,Aphid
78,41,70,67,47,44,ON,20-20,Jassid
16,37,48,73,35,38,ON,DAP,AmericanBollworm-Egg
87,14,21,77,36,37,OFF,Urea,Spodoptera
22,22,55,81,41,38,OFF,Urea,Spodoptera
77,41,47,68,57,43,ON,20-20,PinkBollworm-Larva
45,31,65,72,45,35,ON,14-35-14,AmericanBollworm-Larva
84,39,50,61,53,43,OFF,20-20,Mealybug
12,3,43,67,43,39,ON,28-28,PinkBollworm-Larva
17,40,57,67,58,39,ON,DAP,Aphid
12,35,34,66,60,38,ON,DAP,AmericanBollworm-Egg
6,40,44,82,43,38,OFF,17-17-17,Aphid
21,4,48,84,50,44,ON,10-26-26,Aphid
71,41,49,81,53,42,OFF,DAP,Spodoptera
17,27,40,91,50,40,ON,DAP,Jassid
67,24,31,93,53,38,OFF,14-35-14,PinkBollworm-Larva
34,24,63,90,44,38,OFF,14-35-14,Spodoptera
68,13,57,81,45,35,OFF,17-17-17,PinkBollworm-Larva
52,3,35,78,40,38,OFF,14-35-14,AmericanBollworm-Egg
80,18,24,60,31,36,OFF,28-28,PinkBollworm-Larva
11,11,29,88,46,42,ON,Urea,Aphid
63,27,26,93,47,37,OFF,10-26-26,AmericanBollworm-Larva
88,43,58,60,55,45,ON,Urea,AmericanBollworm-Egg
79,21,58,78,35,44,OFF,20-20,Mealybug
2,37,30,65,37,40,ON,DAP,PinkBollworm-Larva
49,33,61,71,54,16,ON,10-26-26,Spodoptera
64,27,58,61,44,17,OFF,20-20,PinkBollworm-Larva
71,36,25,80,43,16,ON,17-17-17,Jassid
51,27,66,73,58,21,ON,Urea,AmericanBollworm-Larva
67,26,60,61,38,20,OFF,28-28,Mealybug
